Number of words in the corpus: 6458
Number of words in the corpus_todo: 5398
Word:  Frequency: 221.0 LogProb: -1.7275852161846144
Word: #earthday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #earthhour Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ecosystem Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ecuador Frequency: 0.0 LogProb: -4.0739381906352525
Word: #edisonawards Frequency: 0.0 LogProb: -4.0739381906352525
Word: #education Frequency: 0.0 LogProb: -4.0739381906352525
Word: #efficiency Frequency: 0.0 LogProb: -4.0739381906352525
Word: #eforeducation Frequency: 0.0 LogProb: -4.0739381906352525
Word: #elizacarthyband Frequency: 0.0 LogProb: -4.0739381906352525
Word: #elsalvador Frequency: 0.0 LogProb: -4.0739381906352525
Word: #emergencies Frequency: 0.0 LogProb: -4.0739381906352525
Word: #emerging Frequency: 0.0 LogProb: -4.0739381906352525
Word: #employment_number_youth Frequency: 0.0 LogProb: -4.0739381906352525
Word: #endvaw Frequency: 0.0 LogProb: -4.0739381906352525
Word: #energy Frequency: 0.0 LogProb: -4.0739381906352525
Word: #entrepreneur Frequency: 0.0 LogProb: -4.0739381906352525
Word: #entrepreneurs Frequency: 0.0 LogProb: -4.0739381906352525
Word: #environment Frequency: 1.0 LogProb: -3.7729081949712717
Word: #europe Frequency: 0.0 LogProb: -4.0739381906352525
Word: #everystep Frequency: 0.0 LogProb: -4.0739381906352525
Word: #evian Frequency: 0.0 LogProb: -4.0739381906352525
Word: #expandopportunity Frequency: 0.0 LogProb: -4.0739381906352525
Word: #f_number_tf Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fact Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fakemeds Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fashionforward Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fasttrack_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ff Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fi_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #finance Frequency: 0.0 LogProb: -4.0739381906352525
Word: #financialinclusion Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fonterra Frequency: 0.0 LogProb: -4.0739381906352525
Word: #food Frequency: 2.0 LogProb: -3.5968169359155904
Word: #forbes Frequency: 0.0 LogProb: -4.0739381906352525
Word: #forbeshealth Frequency: 0.0 LogProb: -4.0739381906352525
Word: #france Frequency: 0.0 LogProb: -4.0739381906352525
Word: #freedomfish Frequency: 0.0 LogProb: -4.0739381906352525
Word: #friends Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fruit Frequency: 1.0 LogProb: -3.7729081949712717
Word: #ftcitiawards Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fuel Frequency: 1.0 LogProb: -3.7729081949712717
Word: #fx Frequency: 0.0 LogProb: -4.0739381906352525
Word: #fy_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #g_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gcd Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gcd_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gerber Frequency: 0.0 LogProb: -4.0739381906352525
Word: #getgreen Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gethealthystayhealthy Frequency: 2.0 LogProb: -3.5968169359155904
Word: #getvax Frequency: 5.0 LogProb: -3.295786940251609
Word: #globalc_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #globalcommunityday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #globalinvestorawards Frequency: 0.0 LogProb: -4.0739381906352525
Word: #goldenoarsawardsdinner Frequency: 0.0 LogProb: -4.0739381906352525
Word: #goodfoodgoodlife Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gpah Frequency: 0.0 LogProb: -4.0739381906352525
Word: #greekyogurt Frequency: 0.0 LogProb: -4.0739381906352525
Word: #green Frequency: 0.0 LogProb: -4.0739381906352525
Word: #grow Frequency: 0.0 LogProb: -4.0739381906352525
Word: #gsbs_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #guigoz_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #haiti Frequency: 0.0 LogProb: -4.0739381906352525
Word: #haiyan Frequency: 0.0 LogProb: -4.0739381906352525
Word: #halloween Frequency: 0.0 LogProb: -4.0739381906352525
Word: #happiness=culture Frequency: 0.0 LogProb: -4.0739381906352525
Word: #happyday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #happyfamily Frequency: 0.0 LogProb: -4.0739381906352525
Word: #harlem Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hay Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hayfestival Frequency: 0.0 LogProb: -4.0739381906352525
Word: #health Frequency: 8.0 LogProb: -3.119695681195928
Word: #healthcare Frequency: 0.0 LogProb: -4.0739381906352525
Word: #healthierlives Frequency: 0.0 LogProb: -4.0739381906352525
Word: #healthplan Frequency: 0.0 LogProb: -4.0739381906352525
Word: #healthy Frequency: 5.0 LogProb: -3.295786940251609
Word: #healthybytes Frequency: 0.0 LogProb: -4.0739381906352525
Word: #healthykids Frequency: 0.0 LogProb: -4.0739381906352525
Word: #healthytips Frequency: 0.0 LogProb: -4.0739381906352525
Word: #heartwalknyc Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hemophilia Frequency: 3.0 LogProb: -3.4718781993072905
Word: #hitchhiking Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hongkong Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hpv Frequency: 0.0 LogProb: -4.0739381906352525
Word: #hsscircus Frequency: 0.0 LogProb: -4.0739381906352525
Word: #humanity Frequency: 1.0 LogProb: -3.7729081949712717
Word: #hydration Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ias_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #icvconf Frequency: 0.0 LogProb: -4.0739381906352525
Word: #icymi Frequency: 0.0 LogProb: -4.0739381906352525
Word: #imf Frequency: 0.0 LogProb: -4.0739381906352525
Word: #impinv Frequency: 1.0 LogProb: -3.7729081949712717
Word: #india Frequency: 0.0 LogProb: -4.0739381906352525
Word: #indonesia Frequency: 0.0 LogProb: -4.0739381906352525
Word: #indulgence Frequency: 0.0 LogProb: -4.0739381906352525
Word: #infographic Frequency: 0.0 LogProb: -4.0739381906352525
Word: #innovation Frequency: 0.0 LogProb: -4.0739381906352525
Word: #innovative Frequency: 0.0 LogProb: -4.0739381906352525
Word: #insomnia Frequency: 1.0 LogProb: -3.7729081949712717
Word: #internet Frequency: 0.0 LogProb: -4.0739381906352525
Word: #intlmhday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ipbemea Frequency: 0.0 LogProb: -4.0739381906352525
Word: #israel Frequency: 0.0 LogProb: -4.0739381906352525
Word: #ivd Frequency: 0.0 LogProb: -4.0739381906352525
Word: #iwd_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #japan Frequency: 0.0 LogProb: -4.0739381906352525
Word: #johannesburg Frequency: 0.0 LogProb: -4.0739381906352525
Word: #kid䞻s Frequency: 0.0 LogProb: -4.0739381906352525
Word: #korea Frequency: 0.0 LogProb: -4.0739381906352525
Word: #kualalumpur Frequency: 0.0 LogProb: -4.0739381906352525
Word: #la Frequency: 0.0 LogProb: -4.0739381906352525
Word: #labour Frequency: 8.0 LogProb: -3.119695681195928
Word: #latam Frequency: 0.0 LogProb: -4.0739381906352525
Word: #leadership Frequency: 0.0 LogProb: -4.0739381906352525
Word: #leed Frequency: 0.0 LogProb: -4.0739381906352525
Word: #legends Frequency: 0.0 LogProb: -4.0739381906352525
Word: #lego Frequency: 0.0 LogProb: -4.0739381906352525
Word: #letsgetold Frequency: 0.0 LogProb: -4.0739381906352525
Word: #lgbt Frequency: 0.0 LogProb: -4.0739381906352525
Word: #lgbtpridemonth Frequency: 0.0 LogProb: -4.0739381906352525
Word: #littlebookofwonders Frequency: 0.0 LogProb: -4.0739381906352525
Word: #livelihoods Frequency: 0.0 LogProb: -4.0739381906352525
