Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #innovative Frequency: 0.0 LogProb: -4.083359264660818
Word: #insomnia Frequency: 1.0 LogProb: -3.782329268996837
Word: #internet Frequency: 0.0 LogProb: -4.083359264660818
Word: #intlmhday Frequency: 0.0 LogProb: -4.083359264660818
Word: #ipbemea Frequency: 0.0 LogProb: -4.083359264660818
Word: #israel Frequency: 0.0 LogProb: -4.083359264660818
Word: #ivd Frequency: 0.0 LogProb: -4.083359264660818
Word: #iwd_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #japan Frequency: 0.0 LogProb: -4.083359264660818
Word: #johannesburg Frequency: 0.0 LogProb: -4.083359264660818
Word: #kid䞻s Frequency: 0.0 LogProb: -4.083359264660818
Word: #korea Frequency: 0.0 LogProb: -4.083359264660818
Word: #kualalumpur Frequency: 0.0 LogProb: -4.083359264660818
Word: #la Frequency: 0.0 LogProb: -4.083359264660818
Word: #labour Frequency: 8.0 LogProb: -3.129116755221493
Word: #latam Frequency: 0.0 LogProb: -4.083359264660818
Word: #leadership Frequency: 1.0 LogProb: -3.782329268996837
Word: #leed Frequency: 0.0 LogProb: -4.083359264660818
Word: #legends Frequency: 1.0 LogProb: -3.782329268996837
Word: #lego Frequency: 0.0 LogProb: -4.083359264660818
Word: #letsgetold Frequency: 0.0 LogProb: -4.083359264660818
Word: #lgbt Frequency: 0.0 LogProb: -4.083359264660818
Word: #lgbtpridemonth Frequency: 0.0 LogProb: -4.083359264660818
Word: #littlebookofwonders Frequency: 1.0 LogProb: -3.782329268996837
Word: #livelihoods Frequency: 0.0 LogProb: -4.083359264660818
Word: #london Frequency: 1.0 LogProb: -3.782329268996837
Word: #loscabos Frequency: 0.0 LogProb: -4.083359264660818
Word: #maisoncailler Frequency: 0.0 LogProb: -4.083359264660818
Word: #makingadifference Frequency: 0.0 LogProb: -4.083359264660818
Word: #mandela Frequency: 0.0 LogProb: -4.083359264660818
Word: #marina Frequency: 1.0 LogProb: -3.782329268996837
