Number of words in the corpus: 1352
Number of words in the corpus_todo: 5398
Word:  Frequency: 249.0 LogProb: -1.4313637641589874
Word: #greekyogurt Frequency: 0.0 LogProb: -3.829303772831025
Word: #green Frequency: 0.0 LogProb: -3.829303772831025
Word: #grow Frequency: 0.0 LogProb: -3.829303772831025
Word: #gsbs_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #guigoz_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #haiti Frequency: 1.0 LogProb: -3.5282737771670436
Word: #haiyan Frequency: 0.0 LogProb: -3.829303772831025
Word: #halloween Frequency: 0.0 LogProb: -3.829303772831025
Word: #happiness=culture Frequency: 0.0 LogProb: -3.829303772831025
Word: #happyday Frequency: 0.0 LogProb: -3.829303772831025
Word: #happyfamily Frequency: 0.0 LogProb: -3.829303772831025
Word: #harlem Frequency: 0.0 LogProb: -3.829303772831025
Word: #hay Frequency: 0.0 LogProb: -3.829303772831025
Word: #hayfestival Frequency: 0.0 LogProb: -3.829303772831025
Word: #health Frequency: 8.0 LogProb: -2.8750612633917
Word: #healthcare Frequency: 0.0 LogProb: -3.829303772831025
Word: #healthierlives Frequency: 0.0 LogProb: -3.829303772831025
Word: #healthplan Frequency: 0.0 LogProb: -3.829303772831025
Word: #healthy Frequency: 5.0 LogProb: -3.0511525224473814
Word: #healthybytes Frequency: 0.0 LogProb: -3.829303772831025
Word: #healthykids Frequency: 0.0 LogProb: -3.829303772831025
Word: #healthytips Frequency: 0.0 LogProb: -3.829303772831025
Word: #heartwalknyc Frequency: 0.0 LogProb: -3.829303772831025
Word: #hemophilia Frequency: 3.0 LogProb: -3.2272437815030623
Word: #hitchhiking Frequency: 0.0 LogProb: -3.829303772831025
Word: #hongkong Frequency: 0.0 LogProb: -3.829303772831025
Word: #hpv Frequency: 0.0 LogProb: -3.829303772831025
Word: #hsscircus Frequency: 0.0 LogProb: -3.829303772831025
Word: #humanity Frequency: 1.0 LogProb: -3.5282737771670436
Word: #hydration Frequency: 0.0 LogProb: -3.829303772831025
Word: #ias_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #icvconf Frequency: 0.0 LogProb: -3.829303772831025
Word: #icymi Frequency: 0.0 LogProb: -3.829303772831025
Word: #imf Frequency: 0.0 LogProb: -3.829303772831025
Word: #impinv Frequency: 1.0 LogProb: -3.5282737771670436
Word: #india Frequency: 0.0 LogProb: -3.829303772831025
Word: #indonesia Frequency: 0.0 LogProb: -3.829303772831025
Word: #indulgence Frequency: 0.0 LogProb: -3.829303772831025
Word: #infographic Frequency: 0.0 LogProb: -3.829303772831025
Word: #innovation Frequency: 0.0 LogProb: -3.829303772831025
Word: #innovative Frequency: 0.0 LogProb: -3.829303772831025
Word: #insomnia Frequency: 1.0 LogProb: -3.5282737771670436
Word: #internet Frequency: 0.0 LogProb: -3.829303772831025
Word: #intlmhday Frequency: 0.0 LogProb: -3.829303772831025
Word: #ipbemea Frequency: 0.0 LogProb: -3.829303772831025
Word: #israel Frequency: 0.0 LogProb: -3.829303772831025
Word: #ivd Frequency: 0.0 LogProb: -3.829303772831025
Word: #iwd_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #japan Frequency: 0.0 LogProb: -3.829303772831025
Word: #johannesburg Frequency: 0.0 LogProb: -3.829303772831025
Word: #kid䞻s Frequency: 0.0 LogProb: -3.829303772831025
Word: #korea Frequency: 0.0 LogProb: -3.829303772831025
Word: #kualalumpur Frequency: 0.0 LogProb: -3.829303772831025
Word: #la Frequency: 0.0 LogProb: -3.829303772831025
Word: #labour Frequency: 8.0 LogProb: -2.8750612633917
Word: #latam Frequency: 0.0 LogProb: -3.829303772831025
Word: #leadership Frequency: 0.0 LogProb: -3.829303772831025
Word: #leed Frequency: 0.0 LogProb: -3.829303772831025
Word: #legends Frequency: 0.0 LogProb: -3.829303772831025
Word: #lego Frequency: 0.0 LogProb: -3.829303772831025
Word: #letsgetold Frequency: 0.0 LogProb: -3.829303772831025
Word: #lgbt Frequency: 0.0 LogProb: -3.829303772831025
Word: #lgbtpridemonth Frequency: 0.0 LogProb: -3.829303772831025
Word: #littlebookofwonders Frequency: 0.0 LogProb: -3.829303772831025
Word: #livelihoods Frequency: 0.0 LogProb: -3.829303772831025
Word: #london Frequency: 0.0 LogProb: -3.829303772831025
Word: #loscabos Frequency: 0.0 LogProb: -3.829303772831025
Word: #maisoncailler Frequency: 0.0 LogProb: -3.829303772831025
Word: #makingadifference Frequency: 0.0 LogProb: -3.829303772831025
Word: #mandela Frequency: 0.0 LogProb: -3.829303772831025
Word: #marina Frequency: 1.0 LogProb: -3.5282737771670436
Word: #marketing Frequency: 0.0 LogProb: -3.829303772831025
Word: #maternalhealth Frequency: 2.0 LogProb: -3.3521825181113623
Word: #mbca Frequency: 0.0 LogProb: -3.829303772831025
Word: #medicalnutrition Frequency: 0.0 LogProb: -3.829303772831025
Word: #meds Frequency: 1.0 LogProb: -3.5282737771670436
Word: #memorialday Frequency: 0.0 LogProb: -3.829303772831025
Word: #mengniu Frequency: 0.0 LogProb: -3.829303772831025
Word: #mengnius Frequency: 0.0 LogProb: -3.829303772831025
Word: #mengniu䞻s Frequency: 0.0 LogProb: -3.829303772831025
Word: #mentor Frequency: 0.0 LogProb: -3.829303772831025
Word: #mentoring Frequency: 0.0 LogProb: -3.829303772831025
Word: #merapi Frequency: 0.0 LogProb: -3.829303772831025
Word: #merckformothers Frequency: 1.0 LogProb: -3.5282737771670436
Word: #methanisation Frequency: 0.0 LogProb: -3.829303772831025
Word: #mexico Frequency: 0.0 LogProb: -3.829303772831025
Word: #mhealth Frequency: 2.0 LogProb: -3.3521825181113623
Word: #miamidade Frequency: 0.0 LogProb: -3.829303772831025
Word: #microbiota Frequency: 0.0 LogProb: -3.829303772831025
Word: #microcredit Frequency: 0.0 LogProb: -3.829303772831025
Word: #milan Frequency: 0.0 LogProb: -3.829303772831025
Word: #milo Frequency: 0.0 LogProb: -3.829303772831025
Word: #mlt_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #mobile Frequency: 0.0 LogProb: -3.829303772831025
Word: #modernworking Frequency: 0.0 LogProb: -3.829303772831025
Word: #monopod Frequency: 1.0 LogProb: -3.5282737771670436
Word: #mrkhealthhack Frequency: 2.0 LogProb: -3.3521825181113623
Word: #mumbai Frequency: 1.0 LogProb: -3.5282737771670436
Word: #mwc_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #nationalhemophiliafoundation Frequency: 0.0 LogProb: -3.829303772831025
Word: #nationalwomenshealthweek Frequency: 0.0 LogProb: -3.829303772831025
Word: #ncs_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #neocate Frequency: 0.0 LogProb: -3.829303772831025
Word: #nesquik Frequency: 0.0 LogProb: -3.829303772831025
Word: #nestea Frequency: 0.0 LogProb: -3.829303772831025
Word: #nestl Frequency: 0.0 LogProb: -3.829303772831025
Word: #nestl`s Frequency: 0.0 LogProb: -3.829303772831025
Word: #nestle Frequency: 5.0 LogProb: -3.0511525224473814
Word: #nestlecocoa Frequency: 2.0 LogProb: -3.3521825181113623
Word: #nestlecsv Frequency: 0.0 LogProb: -3.829303772831025
Word: #nestleir Frequency: 0.0 LogProb: -3.829303772831025
Word: #netherlands Frequency: 0.0 LogProb: -3.829303772831025
Word: #network Frequency: 1.0 LogProb: -3.5282737771670436
Word: #networking Frequency: 0.0 LogProb: -3.829303772831025
Word: #newmarkets Frequency: 0.0 LogProb: -3.829303772831025
Word: #newstakes Frequency: 0.0 LogProb: -3.829303772831025
Word: #newzealand Frequency: 0.0 LogProb: -3.829303772831025
Word: #nhf Frequency: 0.0 LogProb: -3.829303772831025
Word: #nhs Frequency: 0.0 LogProb: -3.829303772831025
Word: #nigeria Frequency: 0.0 LogProb: -3.829303772831025
Word: #nins_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #nutrition Frequency: 0.0 LogProb: -3.829303772831025
Word: #nutritional Frequency: 0.0 LogProb: -3.829303772831025
Word: #nyc Frequency: 0.0 LogProb: -3.829303772831025
Word: #nyctecheconomy Frequency: 0.0 LogProb: -3.829303772831025
Word: #nye Frequency: 1.0 LogProb: -3.5282737771670436
Word: #nysebell Frequency: 0.0 LogProb: -3.829303772831025
Word: #obesity Frequency: 0.0 LogProb: -3.829303772831025
Word: #oldpost Frequency: 0.0 LogProb: -3.829303772831025
Word: #ootsny Frequency: 0.0 LogProb: -3.829303772831025
Word: #p_number_c_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #packaging Frequency: 1.0 LogProb: -3.5282737771670436
Word: #passions Frequency: 1.0 LogProb: -3.5282737771670436
Word: #pbuk Frequency: 0.0 LogProb: -3.829303772831025
Word: #pension Frequency: 0.0 LogProb: -3.829303772831025
Word: #people Frequency: 0.0 LogProb: -3.829303772831025
Word: #peru Frequency: 0.0 LogProb: -3.829303772831025
Word: #pfizer Frequency: 0.0 LogProb: -3.829303772831025
